Nummer,Uitleg,Samenvatting,UniformeProductnaam,Grondslaglabel,Overheid,SoortProduct,Klant,Prompt1
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aanvullende beurs kwijtschelding,Artikel 6.2 Wet studiefinanciering 2000,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aanvullende beurs kwijtschelding bij de Nederlandse Rijksoverheid  op basis van Artikel 6.2 Wet studiefinanciering 2000. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""1""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aanvullende inkomensvoorziening ouderen,Artikel 47a Participatiewet,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aanvullende inkomensvoorziening ouderen bij de Nederlandse Rijksoverheid  op basis van Artikel 47a Participatiewet. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""2""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aardbevingsbestendige nieuwbouw groningen vergoeding,Artikel 3 Beleidsregel vergoeding kosten aardbevingsbestendige nieuwbouw Groningen,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aardbevingsbestendige nieuwbouw groningen vergoeding bij de Nederlandse Rijksoverheid  op basis van Artikel 3 Beleidsregel vergoeding kosten aardbevingsbestendige nieuwbouw Groningen. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""3""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,adoptie- of pleegzorguitkering,Artikel 3:9 Wet arbeid en zorg,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een adoptie- of pleegzorguitkering bij de Nederlandse Rijksoverheid  op basis van Artikel 3:9 Wet arbeid en zorg. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""4""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aflosbedrag inburgeringslening verlaging,Artikel 4.9 Besluit inburgering,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aflosbedrag inburgeringslening verlaging bij de Nederlandse Rijksoverheid  op basis van Artikel 4.9 Besluit inburgering. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""5""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aflosbedrag inburgeringslening verlaging,Artikel 6.10 Besluit inburgering 2021,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aflosbedrag inburgeringslening verlaging bij de Nederlandse Rijksoverheid  op basis van Artikel 6.10 Besluit inburgering 2021. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""6""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aflosbedrag studieschuld verlaging,Artikel 6.12 Wet studiefinanciering 2000,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aflosbedrag studieschuld verlaging bij de Nederlandse Rijksoverheid  op basis van Artikel 6.12 Wet studiefinanciering 2000. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""7""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,algemene periodieke keuring,Artikel 72 Wegenverkeerswet 1994,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een algemene periodieke keuring bij de Nederlandse Rijksoverheid  op basis van Artikel 72 Wegenverkeerswet 1994. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""8""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,anw-uitkering,Artikel 14 Algemene nabestaandenwet,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een anw-uitkering bij de Nederlandse Rijksoverheid  op basis van Artikel 14 Algemene nabestaandenwet. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""9""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
1,"Als u in Nederland woont en een aanvullende beurs kwijtschelding wilt aanvragen bij de Nederlandse Rijksoverheid op basis van Artikel 6.2 Wet studiefinanciering 2000, moet u aan bepaalde voorwaarden voldoen. Ten eerste moet u ingeschreven staan bij een erkende onderwijsinstelling en studiefinanciering ontvangen. Daarnaast moet uw inkomen en vermogen onder een bepaalde grens vallen. U kunt de aanvraag indienen via de website van DUO, waar u een formulier kunt invullen met uw persoonlijke gegevens en financiële situatie. Na het indienen van de aanvraag zal DUO uw gegevens beoordelen en binnen een bepaalde termijn een beslissing nemen. Als uw aanvraag wordt goedgekeurd, ontvangt u een bevestiging en zal de aanvullende beurs kwijtgescholden worden. Als uw aanvraag wordt afgewezen, kunt u bezwaar maken tegen de beslissing. Voor meer informatie kunt u terecht op de website van DUO of contact opnemen met de helpdesk.",Voor het aanvragen van een aanvullende beurs kwijtschelding op basis van Artikel 6.2 Wet studiefinanciering 2000 moet u aan bepaalde voorwaarden voldoen en kunt u een formulier invullen op de website van DUO.,aor financiele ondersteuning,Artikel 4 Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen,de Nederlandse Rijksoverheid,een aanvraag doen,burger,"Ik ben een helpdesk medewerker en wil een tekst schrijven voor een website van de overheid voor burgers en bedrijven. Geef een uitleg en een samenvatting als een burger uit Nederland een aanvraag doen van een aor financiele ondersteuning bij de Nederlandse Rijksoverheid  op basis van Artikel 4 Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen. Geef de antwoorden op taalniveau B1. De uitleg is minimaal 25 zinnen. De samenvatting is maximaal 2 zinnen. Geef de resultaten in JSON formaat met de volgende indeling: 
{
  ""Nummer"", ""10""
  ""Uitleg"", ""uitleg""
  ""Samenvatting"", ""samenvatting""
}
"
